accession_number,taxid,CatTemp,OGT,GC,SpName,SpHierarchie
GCF_900113615.1,387340,mesophile,37.0,0.683,Halorubrum_aquaticum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_aquaticum
GCF_022807515.1,51589,mesophile,37.0,0.638,Haloarcula_hispanica,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Haloarcula~Haloarcula_hispanica
GCF_025244945.1,1034015,mesophile,42.0,0.543,Nitrososphaera_viennensis,Archaea~Nitrososphaerota~Nitrososphaeria~Nitrososphaerales~Nitrososphaeraceae~Nitrososphaera~Nitrososphaera_viennensis
GCF_900115785.1,555875,mesophile,37.0,0.666,Halogeometricum_limi,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halogeometricum~Halogeometricum_limi
GCF_900106715.1,28442,mesophile,37.0,0.629,Haloarcula_vallismortis,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Haloarcula~Haloarcula_vallismortis
GCF_019880245.1,2175149,mesophile,40.0,0.687,Halobaculum_roseum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halobaculum~Halobaculum_roseum
GCF_046195335.1,668570,mesophile,30.0,0.443,Methanospirillum_lacunae,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanospirillaceae~Methanospirillum~Methanospirillum_lacunae
GCF_028618695.1,1930624,mesophile,40.0,0.622,Natrinema_soli,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natrinema~Natrinema_soli
GCF_010119205.1,1429915,mesophile,37.0,0.668,Haloarcula_limicola,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Haloarcula~Haloarcula_limicola
GCF_015062935.1,66852,mesophile,37.0,0.356,Methanobrevibacter_unclassified,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanobrevibacter~Methanobrevibacter_unclassified
GCF_000023965.1,485914,mesophile,45.0,0.666,Halomicrobium_mukohataei,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Halomicrobium~Halomicrobium_mukohataei
GCF_000258425.1,1163730,thermophile,80.0,0.384,Fervidicoccus_fontis,Archaea~Thermoproteota~Thermoprotei~Fervidicoccales~Fervidicoccaceae~Fervidicoccus~Fervidicoccus_fontis
